name,source,externalid,url,definition,reaction,control,cids,protacxns,geneids,taxid,taxname,ecs,pmids,cidsreactant,cidsproduct
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,LIPAM + aKADA ⟶ S-glutaryldihydrolipoamide + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/71'>aKADA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/863'>LIPAM</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/11953879'>S-glutaryldihydrolipoamide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a>,activated by CHLRE_12g537200v5,11953879|280|71|863,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,71|863,11953879|280
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,S-glutaryldihydrolipoamide + SUCC-CoA ⟶ GL-CoA + S-succinyldihydrolipoamide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/11953879'>S-glutaryldihydrolipoamide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/92133'>SUCC-CoA</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/11953795'>S-succinyldihydrolipoamide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/3081383'>GL-CoA</a>,activated by CHLRE_07g343700v5,11953795|11953879|3081383|92133,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,11953879|92133,11953795|3081383
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,NADH + Phenylacetaldehyde ⟶ 2-phenylethanol + NAD,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/998'>Phenylacetaldehyde</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/6054'>2-phenylethanol</a>,activated by Homologues of ADH,439153|5893|6054|998,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,439153|998,5893|6054
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,phenylpyruvate ⟶ Phenylacetaldehyde + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/997'>phenylpyruvate</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/998'>Phenylacetaldehyde</a>,activated by CHLRE_03g165700v5,280|997|998,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,997,280|998
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,L-Thr ⟶ CH3CHO + Gly,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/6971019'>L-Thr</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/177'>CH3CHO</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5257127'>Gly</a>,activated by CHLRE_10g423550v5,177|5257127|6971019,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,6971019,177|5257127
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,HPPYRA + Oxygen ⟶ HGTA + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/977'>Oxygen</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/979'>HPPYRA</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460389'>HGTA</a>,activated by Homologues of 4-hydroxylphenyl pyruvate dehydrogenase/glyoxalase family protein,280|5460389|977|979,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,977|979,280|5460389
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,HGTA + Oxygen ⟶ 4MAA,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460389'>HGTA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/977'>Oxygen</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460066'>4MAA</a>,activated by CHLRE_02g091200v5,5460066|5460389|977,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,5460389|977,5460066
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,4FAA + H2O ⟶ ACA + fumarate,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/5459934'>4FAA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/444972'>fumarate</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/96'>ACA</a>,activated by CHLRE_17g732802v5,444972|5459934|96|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,5459934|962,444972|96
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,2OG + L-Tyr ⟶ L-Glu + p-hydroxyphenylpyruvate,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/51'>2OG</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/6942100'>L-Tyr</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460299'>L-Glu</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/979'>p-hydroxyphenylpyruvate</a>,activated by CHLRE_02g147302v5,51|5460299|6942100|979,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,51|6942100,5460299|979
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,1PYR-5COOH + H2O + NAD ⟶ Glu + NADH,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/11966181'>1PYR-5COOH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460299'>Glu</a>,activated by CHLRE_12g500150v5,11966181|439153|5460299|5893|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,11966181|5893|962,439153|5460299
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,3-hydroxy-isobutyrate + NAD ⟶ NADH + methylmalonate-semialdehyde,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/87'>3-hydroxy-isobutyrate</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/46173457'>methylmalonate-semialdehyde</a>,activated by CHLRE_14g630859v5,439153|46173457|5893|87,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,5893|87,439153|46173457
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,CoA + NAD + PYR ⟶ Ac-CoA + H+ + NADH + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/1060'>PYR</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/87642'>CoA</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1038'>H+</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/444493'>Ac-CoA</a>,activated by PDH complex,1038|1060|280|439153|444493|5893|643975|87642,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,1060|5893|87642,1038|280|439153|444493
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,FAD + ISB-CoA ⟶ FADH2 + MACR-CoA,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/3036931'>ISB-CoA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/643975'>FAD</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/165390'>MACR-CoA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/446013'>FADH2</a>,activated by CHLRE_06g296400v5,165390|3036931|446013|643975,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,3036931|643975,165390|446013
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,CoA + KIV + NAD ⟶ ISB-CoA + NADH + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/49'>KIV</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/87642'>CoA</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/3036931'>ISB-CoA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a>,activated by 2-oxoisovalerate dehydrogenase,280|3036931|439153|49|5893|87642,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,49|5893|87642,280|3036931|439153
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,2OG + L-Val ⟶ Glu + KIV,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/51'>2OG</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/6971018'>L-Val</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/49'>KIV</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5460299'>Glu</a>,activated by CHLRE_05g245900v5,49|51|5460299|6971018,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,51|6971018,49|5460299
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,H2O + MACR-CoA ⟶ 3-hydroxy-isobutyryl-CoA,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/165390'>MACR-CoA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/45259165'>3-hydroxy-isobutyryl-CoA</a>,activated by CHLRE_02g091850v5,165390|45259165|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,165390|962,45259165
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,CoA + NAD + methylmalonate-semialdehyde ⟶ NADH + PROP-CoA + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/46173457'>methylmalonate-semialdehyde</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/87642'>CoA</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/92753'>PROP-CoA</a>,activated by CHLRE_16g675650v5,280|439153|46173457|5893|87642|92753,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,46173457|5893|87642,280|439153|92753
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,H2O + Oxygen + sulfite ⟶ H2O2 + SO4(2-),<a href='https://pubchem.ncbi.nlm.nih.gov/compound/1099'>sulfite</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/977'>Oxygen</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1117'>SO4(2-)</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/784'>H2O2</a>,activated by CHLRE_04g217929v5,1099|1117|784|962|977,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,1099|962|977,1117|784
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,3MPYR + HCN ⟶ HSCN + PYR,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/768'>HCN</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/98'>3MPYR</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1060'>PYR</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/781'>HSCN</a>,activated by CHLRE_13g607050v5,1060|768|781|98,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,768|98,1060|781
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,AGM + H2O ⟶ N-Carbamoylputrescine + ammonia,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/199'>AGM</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/222'>ammonia</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/502'>N-Carbamoylputrescine</a>,activated by CHLRE_01g009350v5,199|222|502|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,199|962,222|502
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,H2O + N-Carbamoylputrescine ⟶ Putrescine + ammonia + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/502'>N-Carbamoylputrescine</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1045'>Putrescine</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/222'>ammonia</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a>,activated by CHLRE_12g535750v5,1045|222|280|502|962,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,502|962,1045|222|280
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,SAM ⟶ SAM + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/34756'>SAM</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439415'>SAM</a>,activated by CHLRE_03g205900v5,280|34756|439415,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,34756,280|439415
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,Ac-CoA + H2O + OAA ⟶ CIT + CoA,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/444493'>Ac-CoA</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/962'>H2O</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/970'>OAA</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/311'>CIT</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/87642'>CoA</a>,activated by CHLRE_12g514750v5,311|444493|87642|962|970,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,444493|962|970,311|87642
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,glyoxylate ⟶ 2-hydroxy-3-oxopropanoic acid + carbon dioxide,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/760'>glyoxylate</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1122'>2-hydroxy-3-oxopropanoic acid</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/280'>carbon dioxide</a>,activated by CHLRE_03g165700v5,1122|280|760,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,760,1122|280
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,ATP + D-glycerate ⟶ 3PG + ADP,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/439194'>D-glycerate</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5957'>ATP</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439183'>3PG</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/6022'>ADP</a>,activated by CHLRE_12g542300v5,439183|439194|5957|6022,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,439194|5957,439183|6022
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,G6P ⟶ Fru(6)P,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/439284'>G6P</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/69507'>Fru(6)P</a>,activated by glucose 6-phosphate isomerases,439284|69507,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,439284,69507
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,"D-Fructose 1,6-bisphosphate ⟶ DHAP + GA3P","<a href='https://pubchem.ncbi.nlm.nih.gov/compound/84951'>D-Fructose 1,6-bisphosphate</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439168'>GA3P</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/668'>DHAP</a>",NULL,439168|668|84951,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,84951,439168|668
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,"GA3P + NAD + Pi ⟶ 1,3BPG + H+ + NADH","<a href='https://pubchem.ncbi.nlm.nih.gov/compound/1061'>Pi</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439168'>GA3P</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5893'>NAD</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1038'>H+</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439153'>NADH</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439191'>1,3BPG</a>",activated by CHLRE_07g354200v5,1038|1061|439153|439168|439191|5893,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,1061|439168|5893,1038|439153|439191
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,"1,3BPG + ADP ⟶ 3PG + ATP","<a href='https://pubchem.ncbi.nlm.nih.gov/compound/439191'>1,3BPG</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/6022'>ADP</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439183'>3PG</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5957'>ATP</a>",activated by phosphoglycerate kinase,439183|439191|5957|6022,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,439191|6022,439183|5957
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,DHAP ⟶ GA3P,<a href='https://pubchem.ncbi.nlm.nih.gov/compound/668'>DHAP</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439168'>GA3P</a>,activated by CHLRE_01g029300v5,439168|668,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,668,439168
Metabolism and regulation,Plant Reactome,R-CRE-2744345,http://plantreactome.gramene.org/content/detail/R-CRE-2744345,"GA3P + Pi + TPN ⟶ 1,3-Bisphospho-D-glycerate + H+ + TPNH","<a href='https://pubchem.ncbi.nlm.nih.gov/compound/1061'>Pi</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439168'>GA3P</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5886'>TPN</a> ⟶ <a href='https://pubchem.ncbi.nlm.nih.gov/compound/1038'>H+</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/439191'>1,3-Bisphospho-D-glycerate</a> + <a href='https://pubchem.ncbi.nlm.nih.gov/compound/5884'>TPNH</a>",activated by GAPDH complex,1038|1061|439168|439191|5884|5886,NULL,NULL,3055,Chlamydomonas reinhardtii,NULL,NULL,1061|439168|5886,1038|439191|5884
